RowId,DwgId,DwgHandleLow,DwgHandleHigh,DwgSubIndex,RowClassName,PnPID
4464,3402,7418,0,0,Primary,4465
4466,3402,7421,0,0,Primary,4467
4468,3402,7424,0,0,Primary,4469
4486,3402,7445,0,0,Primary,4487
4488,3402,7448,0,0,Primary,4489
4494,3402,7457,0,0,Primary,4495
4496,3402,7460,0,0,Primary,4497
4498,3402,7463,0,0,Primary,4499
4501,3402,7466,0,0,Primary,4502
4503,3402,7469,0,0,Primary,4504
4505,3402,7472,0,0,Primary,4506
4509,3402,7478,0,0,Primary,4510
4511,3402,7481,0,0,Primary,4512
4515,3402,7487,0,0,Primary,4516
6048,3402,14235,0,0,FlowArrow,6049
6050,3402,14236,0,0,GateValve,6051
6062,3402,15977,0,0,Annotation,6063
6066,3402,15991,0,0,GateValve,6067
6221,3402,18217,0,0,GateValve,6222
6249,3402,19241,0,0,GateValve,6250
6294,3402,23858,0,0,Annotation,6295
6301,3402,25693,0,0,Annotation,6302
6304,3402,25700,0,0,Annotation,6305
6306,3402,25707,0,0,Annotation,6307
6308,3402,25769,0,0,GateValve,6309
6314,3402,25791,0,0,OffPageConnector,6315
6326,3402,28590,0,0,OffPageConnector,6327
6334,3402,29578,0,0,Annotation,6335
6546,3402,39534,0,0,Software,6547
6548,3402,39535,0,0,Software,6549
6552,3402,39547,0,0,Software,6553
6554,3402,39548,0,0,Software,6555
6564,3402,39613,0,0,Flange,6565
6566,3402,39648,0,0,Flange,6567
6568,3402,39649,0,0,Flange,6569
6570,3402,39650,0,0,Flange,6571
6610,3402,39950,0,0,Software,6611
6621,3402,39956,0,0,Software,6622
6626,3402,39957,0,0,GateValve,6627
6629,3402,39960,0,0,Software,6630
6632,3402,39961,0,0,Primary,6633
6634,3402,39962,0,0,Primary,6635
6636,3402,39963,0,0,Primary,6637
6644,3402,39965,0,0,Primary,6645
6650,3402,39967,0,0,Primary,6651
6656,3402,39969,0,0,Primary,6657
6658,3402,39970,0,0,Primary,6659
6660,3402,39971,0,0,Primary,6661
6665,3402,39972,0,0,Primary,6666
6673,3402,39975,0,0,Primary,6674
6675,3402,39976,0,0,Primary,6676
6677,3402,39977,0,0,Primary,6678
6685,3402,39979,0,0,Primary,6686
6687,3402,39980,0,0,Primary,6688
6691,3402,39982,0,0,Primary,6692
6695,3402,39984,0,0,Primary,6696
6699,3402,39986,0,0,Primary,6701
6702,3402,39987,0,0,Primary,6703
6733,3402,40044,0,0,Primary,6734
6741,3402,40047,0,0,Primary,6742
6743,3402,40048,0,0,Primary,6744
6750,3402,40050,0,0,Primary,6751
6760,3402,40054,0,0,Primary,6761
6777,3402,40139,0,0,FlowArrow,6778
6783,3402,40142,0,0,Primary,6784
6839,3402,40511,0,0,Software,6840
7011,3402,41207,0,0,GateValve,7012
7019,3402,41220,0,0,Primary,7020
7023,3402,41231,0,0,Software,7024
7025,3402,41232,0,0,Software,7026
7054,3402,41968,0,0,GateValve,7055
7060,3402,41979,0,0,GateValve,7061
7068,3402,42169,0,0,GateValve,7069
7072,3402,42180,0,0,GateValve,7073
7084,3402,42296,0,0,CheckValve,7085
7090,3402,42368,0,0,GateValve,7091
7101,3402,42460,0,0,GateValve,7102
7103,3402,42471,0,0,GateValve,7104
7113,3402,42557,0,0,GateValve,7114
7117,3402,42568,0,0,GateValve,7118
7129,3402,42727,0,0,GateValve,7130
7137,3402,42746,0,0,GateValve,7138
7149,3402,42880,0,0,GateValve,7150
7153,3402,42891,0,0,GateValve,7154
7202,3402,63987,0,0,Vessel,7203
7259,3402,72388,0,0,Annotation,7260
7262,3402,73753,0,0,Annotation,7263
7291,3402,74785,0,0,FlowArrow,7292
7306,3402,74967,0,0,Primary,7307
7321,3402,75024,0,0,GateValve,7322
7327,3402,75039,0,0,ConcentricReducer,7328
7333,3402,75067,0,0,Primary,7334
