TableName,AttributeName,AttributeValue,AttributeType
PinchValve,HasFlowDirection,false,PnPClassBooleanType
PlugValve,BitwiseFlagValue,3,PnPClassFlagType
PlugValve,DisplayName,Plug Valve,PnPClassDisplayName
PlugValve,GraphicalStyleName,Plug Valve Style,PnPGraphical
PlugValve,HasFlowDirection,false,PnPClassBooleanType
RotaryValve,BitwiseFlagValue,3,PnPClassFlagType
RotaryValve,DisplayName,Rotary Valve,PnPClassDisplayName
RotaryValve,GraphicalStyleName,Rotary Valve Style,PnPGraphical
RotaryValve,HasFlowDirection,false,PnPClassBooleanType
StopCheckValve,BitwiseFlagValue,3,PnPClassFlagType
StopCheckValve,DisplayName,Stop Check Valve,PnPClassDisplayName
StopCheckValve,GraphicalStyleName,Stop Check Valve Style,PnPGraphical
StopCheckValve,HasFlowDirection,true,PnPClassBooleanType
SwingCheckValve,BitwiseFlagValue,0,PnPClassFlagType
SwingCheckValve,DisplayName,Swing Check Valve,PnPClassDisplayName
SwingCheckValve,HasFlowDirection,true,PnPClassBooleanType
ThreeWayBallValve,BitwiseFlagValue,0,PnPClassFlagType
ThreeWayBallValve,DisplayName,Three Way Ball Valve,PnPClassDisplayName
ThreeWayBallValve,HasFlowDirection,false,PnPClassBooleanType
ThreeWayGlobeValve,BitwiseFlagValue,0,PnPClassFlagType
ThreeWayGlobeValve,DisplayName,Three Way Globe Valve,PnPClassDisplayName
ThreeWayGlobeValve,HasFlowDirection,false,PnPClassBooleanType
ThreeWayValve,AnnotationStyleName,Valve Label,PnPAnnotation
ThreeWayValve,BitwiseFlagValue,3,PnPClassFlagType
ThreeWayValve,DisplayName,Three Way Valve,PnPClassDisplayName
ThreeWayValve,GraphicalStyleName,Three Way Valve Style,PnPGraphical
ThreeWayValve,HasFlowDirection,false,PnPClassBooleanType
ValveGeneral,BitwiseFlagValue,0,PnPClassFlagType
ValveGeneral,DisplayName,General Valve,PnPClassDisplayName
ValveGeneral,HasFlowDirection,false,PnPClassBooleanType
StraightwayCheckValve,BitwiseFlagValue,1,PnPClassFlagType
StraightwayCheckValve,DisplayName,Straightway Check Valve,PnPClassDisplayName
StraightwayCheckValve,HasFlowDirection,false,PnPClassBooleanType
ScrewdownStraightwayCheckValve,BitwiseFlagValue,1,PnPClassFlagType
ScrewdownStraightwayCheckValve,DisplayName,Screwdown Straightway Check Valve,PnPClassDisplayName
ScrewdownStraightwayCheckValve,HasFlowDirection,false,PnPClassBooleanType
AngleCheckValve,BitwiseFlagValue,1,PnPClassFlagType
AngleCheckValve,DisplayName,Angle Check Valve,PnPClassDisplayName
AngleCheckValve,HasFlowDirection,false,PnPClassBooleanType
ScrewdownAngleCheckValve,BitwiseFlagValue,1,PnPClassFlagType
ScrewdownAngleCheckValve,DisplayName,Screwdown Angle Check Valve,PnPClassDisplayName
ScrewdownAngleCheckValve,HasFlowDirection,false,PnPClassBooleanType
BallCheckValve,BitwiseFlagValue,1,PnPClassFlagType
BallCheckValve,DisplayName,Ball Check Valve,PnPClassDisplayName
BallCheckValve,HasFlowDirection,false,PnPClassBooleanType
StraightwayProgressiveAdjustment,BitwiseFlagValue,1,PnPClassFlagType
StraightwayProgressiveAdjustment,DisplayName,Straightway Progressive Adjustment,PnPClassDisplayName
StraightwayProgressiveAdjustment,HasFlowDirection,false,PnPClassBooleanType
AngleValveProgressiveAdjustmentCharacteristic,BitwiseFlagValue,1,PnPClassFlagType
AngleValveProgressiveAdjustmentCharacteristic,DisplayName,Angle Valve Progressive Adjustment Characteristic,PnPClassDisplayName
AngleValveProgressiveAdjustmentCharacteristic,HasFlowDirection,false,PnPClassBooleanType
BallFloatValve,BitwiseFlagValue,1,PnPClassFlagType
BallFloatValve,DisplayName,Ball Float Valve,PnPClassDisplayName
BallFloatValve,HasFlowDirection,false,PnPClassBooleanType
HoseClamp,BitwiseFlagValue,1,PnPClassFlagType
HoseClamp,DisplayName,Hose Clamp,PnPClassDisplayName
HoseClamp,HasFlowDirection,false,PnPClassBooleanType
StraightwayPressureReducing,BitwiseFlagValue,1,PnPClassFlagType
StraightwayPressureReducing,DisplayName,Straightway Pressure Reducing,PnPClassDisplayName
StraightwayPressureReducing,HasFlowDirection,false,PnPClassBooleanType
StraightwayPressureReducingInjection,BitwiseFlagValue,1,PnPClassFlagType
StraightwayPressureReducingInjection,DisplayName,Straightway Pressure Reducing Injection,PnPClassDisplayName
StraightwayPressureReducingInjection,HasFlowDirection,false,PnPClassBooleanType
AnglePressureReducingInjection,BitwiseFlagValue,1,PnPClassFlagType
AnglePressureReducingInjection,DisplayName,Angle Pressure Reducing Injection,PnPClassDisplayName
AnglePressureReducingInjection,HasFlowDirection,false,PnPClassBooleanType
ThreewayPressureReducingInjection,BitwiseFlagValue,1,PnPClassFlagType
ThreewayPressureReducingInjection,DisplayName,Threeway Pressure Reducing Injection,PnPClassDisplayName
ThreewayPressureReducingInjection,HasFlowDirection,false,PnPClassBooleanType
GateValveprogressiveAdjustment,BitwiseFlagValue,1,PnPClassFlagType
GateValveprogressiveAdjustment,DisplayName,Gate Valve Pprogressive Adjustment,PnPClassDisplayName
GateValveprogressiveAdjustment,HasFlowDirection,false,PnPClassBooleanType
ButterflyValveProgressiveAdjustmentCharacteristic,BitwiseFlagValue,1,PnPClassFlagType
ButterflyValveProgressiveAdjustmentCharacteristic,DisplayName,Butterfly Valve Progressive Adjustment Characteristic,PnPClassDisplayName
ButterflyValveProgressiveAdjustmentCharacteristic,HasFlowDirection,false,PnPClassBooleanType
LouverDamper,BitwiseFlagValue,1,PnPClassFlagType
LouverDamper,DisplayName,Louver Damper,PnPClassDisplayName
LouverDamper,HasFlowDirection,false,PnPClassBooleanType
RollShutterDamper,BitwiseFlagValue,1,PnPClassFlagType
RollShutterDamper,DisplayName,Roll Shutter Damper,PnPClassDisplayName
RollShutterDamper,HasFlowDirection,false,PnPClassBooleanType
FlowLimiterWithOrificePlate,BitwiseFlagValue,1,PnPClassFlagType
FlowLimiterWithOrificePlate,DisplayName,Flow Limiter With Orifice Plate,PnPClassDisplayName
FlowLimiterWithOrificePlate,HasFlowDirection,false,PnPClassBooleanType
InspectionGlass,BitwiseFlagValue,1,PnPClassFlagType
InspectionGlass,DisplayName,Inspection Glass,PnPClassDisplayName
InspectionGlass,HasFlowDirection,false,PnPClassBooleanType
MixingSection,BitwiseFlagValue,1,PnPClassFlagType
MixingSection,DisplayName,Mixing Section,PnPClassDisplayName
MixingSection,HasFlowDirection,false,PnPClassBooleanType
FreezingSection,BitwiseFlagValue,1,PnPClassFlagType
FreezingSection,DisplayName,Freezing Section,PnPClassDisplayName
FreezingSection,HasFlowDirection,false,PnPClassBooleanType
CoolingSection,BitwiseFlagValue,1,PnPClassFlagType
CoolingSection,DisplayName,Cooling Section,PnPClassDisplayName
CoolingSection,HasFlowDirection,false,PnPClassBooleanType
CoolingTrapGeneral,BitwiseFlagValue,1,PnPClassFlagType
CoolingTrapGeneral,DisplayName,General Cooling Trap,PnPClassDisplayName
CoolingTrapGeneral,HasFlowDirection,false,PnPClassBooleanType
SoundAbsorberGeneral,BitwiseFlagValue,1,PnPClassFlagType
SoundAbsorberGeneral,DisplayName,General Sound Absorber,PnPClassDisplayName
SoundAbsorberGeneral,HasFlowDirection,false,PnPClassBooleanType
DetonationSafeguardPipelines,BitwiseFlagValue,1,PnPClassFlagType
DetonationSafeguardPipelines,DisplayName,Detonation Safeguard Pipelines,PnPClassDisplayName
DetonationSafeguardPipelines,HasFlowDirection,false,PnPClassBooleanType
FlashbackArrester,BitwiseFlagValue,1,PnPClassFlagType
FlashbackArrester,DisplayName,Flashback Arrester,PnPClassDisplayName
FlashbackArrester,HasFlowDirection,false,PnPClassBooleanType
VapourTrapGeneral,BitwiseFlagValue,1,PnPClassFlagType
VapourTrapGeneral,DisplayName,General Vapour Trap,PnPClassDisplayName
VapourTrapGeneral,HasFlowDirection,false,PnPClassBooleanType
PipingFittings,AnnotationStyleName,Oval Tag Style,PnPAnnotation
PipingFittings,BitwiseFlagValue,3,PnPClassFlagType
PipingFittings,DisplayName,Piping Fittings,PnPClassDisplayName
PipingFittings,GraphicalStyleName,Piping Fittings Style,PnPGraphical
PipingFittings,HasFlowDirection,false,PnPClassBooleanType
Blank,BitwiseFlagValue,3,PnPClassFlagType
Blank,DisplayName,Blank,PnPClassDisplayName
Blank,GraphicalStyleName,Blank Style,PnPGraphical
Blank,HasFlowDirection,false,PnPClassBooleanType
BlankWithFlanges,BitwiseFlagValue,3,PnPClassFlagType
BlankWithFlanges,DisplayName,Blank With Flanges,PnPClassDisplayName
BlankWithFlanges,GraphicalStyleName,BlankWithFlanges Style,PnPGraphical
BlankWithFlanges,HasFlowDirection,false,PnPClassBooleanType
BlindDisk,BitwiseFlagValue,0,PnPClassFlagType
BlindDisk,DisplayName,Blind Disk,PnPClassDisplayName
BlindDisk,HasFlowDirection,false,PnPClassBooleanType
BlindFlange,BitwiseFlagValue,3,PnPClassFlagType
BlindFlange,DisplayName,Blind Flange,PnPClassDisplayName
BlindFlange,GraphicalStyleName,Blind Flange Style,PnPGraphical
BlindFlange,HasFlowDirection,false,PnPClassBooleanType
Cap,BitwiseFlagValue,3,PnPClassFlagType
Cap,DisplayName,Cap,PnPClassDisplayName
Cap,GraphicalStyleName,Cap Style,PnPGraphical
Cap,HasFlowDirection,true,PnPClassBooleanType
ChemicalSeal,BitwiseFlagValue,7,PnPClassFlagType
ChemicalSeal,DisplayName,Chemical Seal,PnPClassDisplayName
ChemicalSeal,GraphicalStyleName,Chemical Seal - Diaphragm,PnPGraphical
ChemicalSeal,HasFlowDirection,false,PnPClassBooleanType
ClosedFigure8Blind,BitwiseFlagValue,3,PnPClassFlagType
ClosedFigure8Blind,DisplayName,Closed Figure 8 Blind,PnPClassDisplayName
ClosedFigure8Blind,GraphicalStyleName,Closed Figure8 Blind Style,PnPGraphical
ClosedFigure8Blind,HasFlowDirection,false,PnPClassBooleanType
ClosedFigure8BlindWithFlanges,BitwiseFlagValue,3,PnPClassFlagType
ClosedFigure8BlindWithFlanges,DisplayName,Closed Figure 8 Blind With Flanges,PnPClassDisplayName
ClosedFigure8BlindWithFlanges,GraphicalStyleName,ClosedFigure8BlindWithFlanges Style,PnPGraphical
ClosedFigure8BlindWithFlanges,HasFlowDirection,false,PnPClassBooleanType
Coupling,BitwiseFlagValue,0,PnPClassFlagType
Coupling,DisplayName,Coupling,PnPClassDisplayName
Coupling,HasFlowDirection,false,PnPClassBooleanType
Flange,BitwiseFlagValue,3,PnPClassFlagType
Flange,DisplayName,Flange,PnPClassDisplayName
Flange,GraphicalStyleName,Flange Style,PnPGraphical
Flange,HasFlowDirection,false,PnPBooleanType
HoseConnection,BitwiseFlagValue,3,PnPClassFlagType
HoseConnection,DisplayName,Hose Connection,PnPClassDisplayName
HoseConnection,GraphicalStyleName,Hose Connection Style,PnPGraphical
HoseConnection,HasFlowDirection,false,PnPBooleanType
MixingNozzleInjector,BitwiseFlagValue,0,PnPClassFlagType
MixingNozzleInjector,DisplayName,Mixing Nozzle Injector,PnPClassDisplayName
MixingNozzleInjector,HasFlowDirection,false,PnPClassBooleanType
OpenFigure8Blind,BitwiseFlagValue,3,PnPClassFlagType
OpenFigure8Blind,DisplayName,Open Figure 8 Blind,PnPClassDisplayName
OpenFigure8Blind,GraphicalStyleName,Open Figure8 Blind Style,PnPGraphical
OpenFigure8Blind,HasFlowDirection,false,PnPClassBooleanType
OpenFigure8BlindWithFlanges,BitwiseFlagValue,3,PnPClassFlagType
OpenFigure8BlindWithFlanges,DisplayName,Open Figure 8 Blind With Flanges,PnPClassDisplayName
OpenFigure8BlindWithFlanges,GraphicalStyleName,OpenFigure8BlindWithFlanges,PnPGraphical
OpenFigure8BlindWithFlanges,HasFlowDirection,false,PnPClassBooleanType
OrificePlate,BitwiseFlagValue,8,PnPClassFlagType
OrificePlate,DisplayName,Orifice Plate,PnPClassDisplayName
OrificePlate,HasFlowDirection,false,PnPClassBooleanType
Plug,BitwiseFlagValue,3,PnPClassFlagType
Plug,DisplayName,Plug,PnPClassDisplayName
Plug,GraphicalStyleName,Plug Style,PnPGraphical
Plug,HasFlowDirection,false,PnPClassBooleanType
SightGlass,BitwiseFlagValue,0,PnPClassFlagType
SightGlass,DisplayName,Sight Glass,PnPClassDisplayName
SightGlass,HasFlowDirection,false,PnPClassBooleanType
Spacer,BitwiseFlagValue,3,PnPClassFlagType
Spacer,DisplayName,Spacer,PnPClassDisplayName
Spacer,GraphicalStyleName,Spacer Style,PnPGraphical
Spacer,HasFlowDirection,false,PnPClassBooleanType
SpacerWithFlanges,BitwiseFlagValue,3,PnPClassFlagType
SpacerWithFlanges,DisplayName,Spacer With Flanges,PnPClassDisplayName
SpacerWithFlanges,GraphicalStyleName,SpacerWithFlanges,PnPGraphical
SpacerWithFlanges,HasFlowDirection,false,PnPClassBooleanType
SpectacleBlind,BitwiseFlagValue,0,PnPClassFlagType
SpectacleBlind,DisplayName,Spectacle Blind,PnPClassDisplayName
SpectacleBlind,HasFlowDirection,false,PnPClassBooleanType
Strainer,BitwiseFlagValue,0,PnPClassFlagType
Strainer,DisplayName,Strainer,PnPClassDisplayName
Strainer,HasFlowDirection,false,PnPClassBooleanType
UndefinedInterlockLogic,BitwiseFlagValue,7,PnPClassFlagType
UndefinedInterlockLogic,DisplayName,Undefined Interlock Logic,PnPClassDisplayName
UndefinedInterlockLogic,GraphicalStyleName,Undefined Interlock Logic,PnPGraphical
UndefinedInterlockLogic,HasFlowDirection,false,PnPClassBooleanType
WeldedConnection,BitwiseFlagValue,3,PnPClassFlagType
WeldedConnection,DisplayName,Welded Connection,PnPClassDisplayName
WeldedConnection,GraphicalStyleName,Welded Connection Style,PnPGraphical
WeldedConnection,HasFlowDirection,false,PnPClassBooleanType
CouplingContinuouslyVariable,BitwiseFlagValue,1,PnPClassFlagType
CouplingContinuouslyVariable,DisplayName,Coupling Continuously Variable,PnPClassDisplayName
CouplingContinuouslyVariable,HasFlowDirection,false,PnPClassBooleanType
HydraulicCoupling,BitwiseFlagValue,1,PnPClassFlagType
HydraulicCoupling,DisplayName,Hydraulic Coupling,PnPClassDisplayName
HydraulicCoupling,HasFlowDirection,false,PnPClassBooleanType
ElectromagneticCoupling,BitwiseFlagValue,1,PnPClassFlagType
ElectromagneticCoupling,DisplayName,Electromagnetic Coupling,PnPClassDisplayName
ElectromagneticCoupling,HasFlowDirection,false,PnPClassBooleanType
GearGeneral,BitwiseFlagValue,1,PnPClassFlagType
GearGeneral,DisplayName,General Gear,PnPClassDisplayName
GearGeneral,HasFlowDirection,false,PnPClassBooleanType
PumpElectricMotorDriveGearboxTurboCoupling,BitwiseFlagValue,1,PnPClassFlagType
PumpElectricMotorDriveGearboxTurboCoupling,DisplayName,Pump Electric Motor Drive Gearbox Turbo Coupling,PnPClassDisplayName
PumpElectricMotorDriveGearboxTurboCoupling,HasFlowDirection,false,PnPClassBooleanType
PumpElectricMotorDriveSpeedControlCouplingBoosterPump,BitwiseFlagValue,1,PnPClassFlagType
PumpElectricMotorDriveSpeedControlCouplingBoosterPump,DisplayName,Pump Electric Motor Drive Speed Control Coupling Booster Pump,PnPClassDisplayName
PumpElectricMotorDriveSpeedControlCouplingBoosterPump,HasFlowDirection,false,PnPClassBooleanType
BurstingDiscBurstingDiagphragm,BitwiseFlagValue,1,PnPClassFlagType
BurstingDiscBurstingDiagphragm,DisplayName,Bursting Disc Bursting Diagphragm,PnPClassDisplayName
BurstingDiscBurstingDiagphragm,HasFlowDirection,false,PnPClassBooleanType
SteamTrapA,BitwiseFlagValue,1,PnPClassFlagType
SteamTrapA,DisplayName,Steam Trap A,PnPClassDisplayName
SteamTrapA,HasFlowDirection,false,PnPClassBooleanType
PipingSpecialtyItems,AnnotationStyleName,Oval Tag Style,PnPAnnotation
PipingSpecialtyItems,BitwiseFlagValue,3,PnPClassFlagType
PipingSpecialtyItems,DisplayName,Piping Specialty Items,PnPClassDisplayName
PipingSpecialtyItems,GraphicalStyleName,Piping Specialty Items Style,PnPGraphical
PipingSpecialtyItems,HasFlowDirection,false,PnPClassBooleanType
PipingSpecialtyItems,TagFormatName,Specialty Items Tag [Type-Number],PnPTagFormat
BasketStrainer,BitwiseFlagValue,3,PnPClassFlagType
BasketStrainer,DisplayName,Basket Strainer,PnPClassDisplayName
BasketStrainer,GraphicalStyleName,Basket Strainer Style,PnPGraphical
BasketStrainer,HasFlowDirection,false,PnPClassBooleanType
Breather,BitwiseFlagValue,3,PnPClassFlagType
Breather,DisplayName,Breather,PnPClassDisplayName
Breather,GraphicalStyleName,Breather Style,PnPGraphical
Breather,HasFlowDirection,false,PnPClassBooleanType
Compensator,BitwiseFlagValue,0,PnPClassFlagType
Compensator,DisplayName,Compensator,PnPClassDisplayName
Compensator,HasFlowDirection,false,PnPClassBooleanType
ConeStrainer,BitwiseFlagValue,3,PnPClassFlagType
ConeStrainer,DisplayName,Cone Strainer,PnPClassDisplayName
ConeStrainer,GraphicalStyleName,Cone Strainer Style,PnPGraphical
ConeStrainer,HasFlowDirection,true,PnPClassBooleanType
Damper,BitwiseFlagValue,3,PnPClassFlagType
Damper,DisplayName,Damper,PnPClassDisplayName
Damper,GraphicalStyleName,Damper Style,PnPGraphical
Damper,HasFlowDirection,false,PnPClassBooleanType
Desuperheater,BitwiseFlagValue,3,PnPClassFlagType
Desuperheater,DisplayName,Desuperheater,PnPClassDisplayName
Desuperheater,GraphicalStyleName,De Super Heater Style,PnPGraphical
Desuperheater,HasFlowDirection,false,PnPClassBooleanType
DetonationArrestor,BitwiseFlagValue,3,PnPClassFlagType
DetonationArrestor,DisplayName,Detonation Arrestor,PnPClassDisplayName
DetonationArrestor,GraphicalStyleName,Detonation Arrestor Style,PnPGraphical
DetonationArrestor,HasFlowDirection,false,PnPClassBooleanType
DetonationProofFlameArrestor,BitwiseFlagValue,0,PnPClassFlagType
DetonationProofFlameArrestor,DisplayName,Detonation Proof Flame Arrestor,PnPClassDisplayName
DetonationProofFlameArrestor,HasFlowDirection,false,PnPClassBooleanType
DuplexStrainer,BitwiseFlagValue,3,PnPClassFlagType
DuplexStrainer,DisplayName,Duplex Strainer,PnPClassDisplayName
DuplexStrainer,GraphicalStyleName,Duplex Strainer Style,PnPGraphical
DuplexStrainer,HasFlowDirection,false,PnPClassBooleanType
EjectorOrEductor,BitwiseFlagValue,3,PnPClassFlagType
EjectorOrEductor,DisplayName,Ejector / Eductor,PnPClassDisplayName
EjectorOrEductor,GraphicalStyleName,Ejector Or Eductor Style,PnPGraphical
EjectorOrEductor,HasFlowDirection,true,PnPClassBooleanType
ExhaustHead,BitwiseFlagValue,3,PnPClassFlagType
ExhaustHead,DisplayName,Exhaust Head,PnPClassDisplayName
ExhaustHead,GraphicalStyleName,Exhaust Head Style,PnPGraphical
ExhaustHead,HasFlowDirection,false,PnPClassBooleanType
ExpansionJoint,BitwiseFlagValue,3,PnPClassFlagType
ExpansionJoint,DisplayName,Expansion Joint,PnPClassDisplayName
ExpansionJoint,GraphicalStyleName,Expansion Joint Style,PnPGraphical
ExpansionJoint,HasFlowDirection,false,PnPClassBooleanType
ExplosionProofFlameArrestor,BitwiseFlagValue,0,PnPClassFlagType
ExplosionProofFlameArrestor,DisplayName,Explosion Proof Flame Arrestor,PnPClassDisplayName
ExplosionProofFlameArrestor,HasFlowDirection,false,PnPClassBooleanType
FilterPipe,BitwiseFlagValue,3,PnPClassFlagType
FilterPipe,DisplayName,Filter,PnPClassDisplayName
FilterPipe,GraphicalStyleName,Filter Pipe Style,PnPGraphical
FilterPipe,HasFlowDirection,false,PnPClassBooleanType
FireResistantDetonationProofFlameArrestor,BitwiseFlagValue,0,PnPClassFlagType
FireResistantDetonationProofFlameArrestor,DisplayName,Fire Resistant Detonation Proof Flame Arrestor,PnPClassDisplayName
FireResistantDetonationProofFlameArrestor,HasFlowDirection,false,PnPClassBooleanType
FireResistantFlameArrestor,BitwiseFlagValue,0,PnPClassFlagType
FireResistantFlameArrestor,DisplayName,Fire Resistant Flame Arrestor,PnPClassDisplayName
FireResistantFlameArrestor,HasFlowDirection,false,PnPClassBooleanType
FlameArrestor,BitwiseFlagValue,3,PnPClassFlagType
FlameArrestor,DisplayName,Flame Arrestor,PnPClassDisplayName
FlameArrestor,GraphicalStyleName,Flame Arrestor Style,PnPGraphical
FlameArrestor,HasFlowDirection,false,PnPClassBooleanType
FlexibleHose,BitwiseFlagValue,3,PnPClassFlagType
FlexibleHose,DisplayName,Flexible Hose,PnPClassDisplayName
FlexibleHose,GraphicalStyleName,Flexible Hose Style,PnPGraphical
FlexibleHose,HasFlowDirection,false,PnPClassBooleanType
Funnel,BitwiseFlagValue,0,PnPClassFlagType
Funnel,DisplayName,Funnel,PnPClassDisplayName
Funnel,HasFlowDirection,false,PnPClassBooleanType
InLineMixer,BitwiseFlagValue,3,PnPClassFlagType
InLineMixer,DisplayName,Inline Mixer,PnPClassDisplayName
InLineMixer,GraphicalStyleName,In Line Mixer Style,PnPGraphical
InLineMixer,HasFlowDirection,false,PnPClassBooleanType
InLineSilencer,BitwiseFlagValue,3,PnPClassFlagType
InLineSilencer,DisplayName,Inline Silencer,PnPClassDisplayName
InLineSilencer,GraphicalStyleName,In Line Silencer Style,PnPGraphical
InLineSilencer,HasFlowDirection,false,PnPClassBooleanType
PipeConduitJacket,BitwiseFlagValue,8,PnPClassFlagType
PipeConduitJacket,DisplayName,Pipe Conduit Jacket,PnPClassDisplayName
PipeConduitJacket,HasFlowDirection,false,PnPClassBooleanType
PipeHeatingCooling,BitwiseFlagValue,8,PnPClassFlagType
PipeHeatingCooling,DisplayName,Pipe Heating Cooling,PnPClassDisplayName
PipeHeatingCooling,HasFlowDirection,false,PnPClassBooleanType
PipeHeatingCoolingInsulated,BitwiseFlagValue,8,PnPClassFlagType
PipeHeatingCoolingInsulated,DisplayName,Pipe Heating Cooling Insulated,PnPClassDisplayName
PipeHeatingCoolingInsulated,HasFlowDirection,false,PnPClassBooleanType
PipeInsulated,BitwiseFlagValue,8,PnPClassFlagType
PipeInsulated,DisplayName,Pipe Insulated,PnPClassDisplayName
PipeInsulated,HasFlowDirection,false,PnPClassBooleanType
PulsationDamper,BitwiseFlagValue,3,PnPClassFlagType
PulsationDamper,DisplayName,Pulsation Damper,PnPClassDisplayName
PulsationDamper,GraphicalStyleName,Pulsation Damper Style,PnPGraphical
PulsationDamper,HasFlowDirection,false,PnPClassBooleanType
RemovableSpool,BitwiseFlagValue,3,PnPClassFlagType
RemovableSpool,DisplayName,Removable Spool,PnPClassDisplayName
RemovableSpool,GraphicalStyleName,Removable Spool Style,PnPGraphical
RemovableSpool,HasFlowDirection,false,PnPClassBooleanType
Siphon,BitwiseFlagValue,0,PnPClassFlagType
Siphon,DisplayName,Siphon,PnPClassDisplayName
Siphon,HasFlowDirection,false,PnPClassBooleanType
SteamTrap,BitwiseFlagValue,3,PnPClassFlagType
SteamTrap,DisplayName,Steam Trap,PnPClassDisplayName
SteamTrap,GraphicalStyleName,Steam Trap Style,PnPGraphical
SteamTrap,HasFlowDirection,false,PnPClassBooleanType
TemporaryStrainer,BitwiseFlagValue,3,PnPClassFlagType
TemporaryStrainer,DisplayName,Temporary Strainer,PnPClassDisplayName
TemporaryStrainer,GraphicalStyleName,Temporary Strainer Style,PnPGraphical
TemporaryStrainer,HasFlowDirection,true,PnPClassBooleanType
TTypeStrainer,BitwiseFlagValue,3,PnPClassFlagType
TTypeStrainer,DisplayName,T-Type Strainer,PnPClassDisplayName
TTypeStrainer,GraphicalStyleName,T-type Strainer Style,PnPGraphical
TTypeStrainer,HasFlowDirection,false,PnPClassBooleanType
VentCover,BitwiseFlagValue,3,PnPClassFlagType
VentCover,DisplayName,Vent Cover,PnPClassDisplayName
VentCover,GraphicalStyleName,Vent Cover Style,PnPGraphical
VentCover,HasFlowDirection,false,PnPClassBooleanType
VentSilencer,BitwiseFlagValue,3,PnPClassFlagType
VentSilencer,DisplayName,Vent Silencer,PnPClassDisplayName
VentSilencer,GraphicalStyleName,Vent Silencer Style,PnPGraphical
VentSilencer,HasFlowDirection,false,PnPClassBooleanType
YTypeStrainer,BitwiseFlagValue,3,PnPClassFlagType
YTypeStrainer,DisplayName,Y-Type Strainer,PnPClassDisplayName
YTypeStrainer,GraphicalStyleName,Y-type Strainer Style,PnPGraphical
YTypeStrainer,HasFlowDirection,true,PnPClassBooleanType
DischargeFunnel,BitwiseFlagValue,1,PnPClassFlagType
DischargeFunnel,DisplayName,Discharge Funnel,PnPClassDisplayName
DischargeFunnel,HasFlowDirection,false,PnPClassBooleanType
DrainPan,BitwiseFlagValue,1,PnPClassFlagType
DrainPan,DisplayName,Drain Pan,PnPClassDisplayName
DrainPan,HasFlowDirection,false,PnPClassBooleanType
DrainChannel,BitwiseFlagValue,1,PnPClassFlagType
DrainChannel,DisplayName,Drain Channel,PnPClassDisplayName
DrainChannel,HasFlowDirection,false,PnPClassBooleanType
SprayNozzle,BitwiseFlagValue,1,PnPClassFlagType
SprayNozzle,DisplayName,Spray Nozzle,PnPClassDisplayName
SprayNozzle,HasFlowDirection,false,PnPClassBooleanType
Suction,BitwiseFlagValue,1,PnPClassFlagType
Suction,DisplayName,Suction,PnPClassDisplayName
Suction,HasFlowDirection,false,PnPClassBooleanType
DischargeForGasSteam,BitwiseFlagValue,1,PnPClassFlagType
DischargeForGasSteam,DisplayName,Discharge For Gas Steam,PnPClassDisplayName
DischargeForGasSteam,HasFlowDirection,false,PnPClassBooleanType
Reducers,AnnotationStyleName,Adjacent Pipe Reducer Style,PnPAnnotation
Reducers,BitwiseFlagValue,3,PnPClassFlagType
Reducers,DisplayName,Reducers,PnPClassDisplayName
Reducers,GraphicalStyleName,Reducers Style,PnPGraphical
Reducers,HasFlowDirection,false,PnPClassBooleanType
ConcentricReducer,BitwiseFlagValue,3,PnPClassFlagType
ConcentricReducer,DisplayName,Concentric Reducer,PnPClassDisplayName
ConcentricReducer,GraphicalStyleName,Concentric Reducer Style,PnPGraphical
ConcentricReducer,HasFlowDirection,false,PnPClassBooleanType
EccentricReducer,BitwiseFlagValue,15,PnPClassFlagType
EccentricReducer,DisplayName,Eccentric Reducer,PnPClassDisplayName
EccentricReducer,GraphicalStyleName,Eccentric Reducer Style,PnPGraphical
EccentricReducer,HasFlowDirection,false,PnPClassBooleanType
Reducer,BitwiseFlagValue,0,PnPClassFlagType
Reducer,DisplayName,Reducer,PnPClassDisplayName
Reducer,HasFlowDirection,false,PnPClassBooleanType
Instrumentation,AnnotationStyleName,Oval Tag Style,PnPAnnotation
Instrumentation,BitwiseFlagValue,3,PnPClassFlagType
Instrumentation,DisplayName,Instrumentation,PnPClassDisplayName
Instrumentation,GraphicalStyleName,Instrumentation Style,PnPGraphical
Instrumentation,TagFormatName,Instrumentation Tag [Area-Type-Number],PnPTagFormat
GeneralInstrumentSymbols,AnnotationStyleName,Function Symbol - Conversion IO,PnPAnnotation
GeneralInstrumentSymbols,BitwiseFlagValue,3,PnPClassFlagType
GeneralInstrumentSymbols,DisplayName,General Instrument Symbols,PnPClassDisplayName
GeneralInstrumentSymbols,GraphicalStyleName,General Instrument Symbols Style,PnPGraphical
AuxiliaryAccessibleComputer,BitwiseFlagValue,4,PnPClassFlagType
AuxiliaryAccessibleComputer,DisplayName,Auxiliary Accessible Computer,PnPClassDisplayName
AuxiliaryInaccessibleComputer,BitwiseFlagValue,4,PnPClassFlagType
AuxiliaryInaccessibleComputer,DisplayName,Auxiliary Inaccessible Computer,PnPClassDisplayName
AuxiliaryLocAccessibleDCS,BitwiseFlagValue,3,PnPClassFlagType
AuxiliaryLocAccessibleDCS,DisplayName,Aux Accessible DCS,PnPClassDisplayName
