TableName,AttributeName,AttributeValue,AttributeType
ProgressiveCavityPump,DisplayName,Progressive Cavity Pump,PnPClassDisplayName
ProgressiveCavityPump,GraphicalStyleName,Progressive Cavity Pump Style,PnPGraphical
ReciprocatingPump,BitwiseFlagValue,0,PnPClassFlagType
ReciprocatingPump,DisplayName,Reciprocating Pump,PnPClassDisplayName
ScrewPump,BitwiseFlagValue,3,PnPClassFlagType
ScrewPump,DisplayName,Screw Pump,PnPClassDisplayName
ScrewPump,GraphicalStyleName,Screw Pump Style,PnPGraphical
VerticalCanPump,BitwiseFlagValue,3,PnPClassFlagType
VerticalCanPump,DisplayName,Vertical Can Pump,PnPClassDisplayName
VerticalCanPump,GraphicalStyleName,Vertical Can Pump Style,PnPGraphical
VerticalInlinePump,BitwiseFlagValue,3,PnPClassFlagType
VerticalInlinePump,DisplayName,Vertical Inline Pump,PnPClassDisplayName
VerticalInlinePump,GraphicalStyleName,Vertical Inline Pump Style,PnPGraphical
RotaryPistonPump,BitwiseFlagValue,1,PnPClassFlagType
RotaryPistonPump,DisplayName,Rotary Piston Pump,PnPClassDisplayName
ElectromagneticPump,BitwiseFlagValue,1,PnPClassFlagType
ElectromagneticPump,DisplayName,Electromagnetic Pump,PnPClassDisplayName
Tanks,BitwiseFlagValue,3,PnPClassFlagType
Tanks,DisplayName,Tanks,PnPClassDisplayName
Tanks,GraphicalStyleName,Tanks Style,PnPGraphical
Bag,BitwiseFlagValue,0,PnPClassFlagType
Bag,DisplayName,Bag,PnPClassDisplayName
ConeRoofTank,BitwiseFlagValue,3,PnPClassFlagType
ConeRoofTank,DisplayName,Cone Roof Tank,PnPClassDisplayName
ConeRoofTank,GraphicalStyleName,Cone Roof Tank Style,PnPGraphical
ConicalBin,BitwiseFlagValue,0,PnPClassFlagType
ConicalBin,DisplayName,Conical Bin,PnPClassDisplayName
ConicalHeadsVessel,BitwiseFlagValue,0,PnPClassFlagType
ConicalHeadsVessel,DisplayName,Conical Heads Vessel,PnPClassDisplayName
Container,BitwiseFlagValue,0,PnPClassFlagType
Container,DisplayName,Container,PnPClassDisplayName
CoolingTower,BitwiseFlagValue,0,PnPClassFlagType
CoolingTower,DisplayName,Cooling Tower,PnPClassDisplayName
DishedHeadsVessel,BitwiseFlagValue,0,PnPClassFlagType
DishedHeadsVessel,DisplayName,Dished Heads Vessel,PnPClassDisplayName
DistillationTower,BitwiseFlagValue,0,PnPClassFlagType
DistillationTower,DisplayName,Distillation Tower,PnPClassDisplayName
DomeRoofTank,BitwiseFlagValue,3,PnPClassFlagType
DomeRoofTank,DisplayName,Dome Roof Tank,PnPClassDisplayName
DomeRoofTank,GraphicalStyleName,Dome Roof Tank Style,PnPGraphical
DoubleWallTank,BitwiseFlagValue,3,PnPClassFlagType
DoubleWallTank,DisplayName,Double Wall Tank,PnPClassDisplayName
DoubleWallTank,GraphicalStyleName,Double Wall Tank Style,PnPGraphical
ExternalFloatingRoofTank,BitwiseFlagValue,3,PnPClassFlagType
ExternalFloatingRoofTank,DisplayName,External Floating Roof Tank,PnPClassDisplayName
ExternalFloatingRoofTank,GraphicalStyleName,External Floating Roof Tank Style,PnPGraphical
FixedBedColumn,BitwiseFlagValue,0,PnPClassFlagType
FixedBedColumn,DisplayName,Fixed Bed Column,PnPClassDisplayName
FloatingRoofTank,BitwiseFlagValue,0,PnPClassFlagType
FloatingRoofTank,DisplayName,Floating Roof Tank,PnPClassDisplayName
FluidizedBedColumn,BitwiseFlagValue,0,PnPClassFlagType
FluidizedBedColumn,DisplayName,Fluidized Bed Column,PnPClassDisplayName
FullTubeCoilVessel,BitwiseFlagValue,0,PnPClassFlagType
FullTubeCoilVessel,DisplayName,Full Tube Coil Vessel,PnPClassDisplayName
GasCylinder,BitwiseFlagValue,0,PnPClassFlagType
GasCylinder,DisplayName,Gas Cylinder,PnPClassDisplayName
GasHolder,BitwiseFlagValue,0,PnPClassFlagType
GasHolder,DisplayName,Gas Holder,PnPClassDisplayName
GeneralBasin,BitwiseFlagValue,0,PnPClassFlagType
GeneralBasin,DisplayName,General Basin,PnPClassDisplayName
GeneralColumn,BitwiseFlagValue,0,PnPClassFlagType
GeneralColumn,DisplayName,General Column,PnPClassDisplayName
GeneralColumnWithTrays,BitwiseFlagValue,0,PnPClassFlagType
GeneralColumnWithTrays,DisplayName,General Column With Trays,PnPClassDisplayName
GeneralVessel,BitwiseFlagValue,0,PnPClassFlagType
GeneralVessel,DisplayName,General Vessel,PnPClassDisplayName
InternalFloatingRoofTank,BitwiseFlagValue,3,PnPClassFlagType
InternalFloatingRoofTank,DisplayName,Internal Floating Roof Tank,PnPClassDisplayName
InternalFloatingRoofTank,GraphicalStyleName,Internal Floating Roof Tank Style,PnPGraphical
JacketedVessel,BitwiseFlagValue,0,PnPClassFlagType
JacketedVessel,DisplayName,Jacketed Vessel,PnPClassDisplayName
OpenTopTank,BitwiseFlagValue,3,PnPClassFlagType
OpenTopTank,DisplayName,Open Top Tank,PnPClassDisplayName
OpenTopTank,GraphicalStyleName,Open Top Tank Style,PnPGraphical
Reactor,BitwiseFlagValue,4,PnPClassFlagType
Reactor,DisplayName,Reactor,PnPClassDisplayName
SemiTubeVessel,BitwiseFlagValue,0,PnPClassFlagType
SemiTubeVessel,DisplayName,Semi-tube coil vessel,PnPClassDisplayName
Sphere,BitwiseFlagValue,3,PnPClassFlagType
Sphere,DisplayName,Sphere,PnPClassDisplayName
Sphere,GraphicalStyleName,Sphere Style,PnPGraphical
SphericalVessel,BitwiseFlagValue,0,PnPClassFlagType
SphericalVessel,DisplayName,Spherical Vessel,PnPClassDisplayName
Vessel,BitwiseFlagValue,3,PnPClassFlagType
Vessel,DisplayName,Vessel,PnPClassDisplayName
Vessel,GraphicalStyleName,Vessel Style,PnPGraphical
VesselWithPackedSection,BitwiseFlagValue,3,PnPClassFlagType
VesselWithPackedSection,DisplayName,Vessel With Packed Section,PnPClassDisplayName
VesselWithPackedSection,GraphicalStyleName,VesselWithPackedSection Style,PnPGraphical
VesselWithTrayedInternals,BitwiseFlagValue,3,PnPClassFlagType
VesselWithTrayedInternals,DisplayName,Vessel With Trayed Internals,PnPClassDisplayName
VesselWithTrayedInternals,GraphicalStyleName,VesselWithTrayedInternals Style,PnPGraphical
WeightHopper,BitwiseFlagValue,0,PnPClassFlagType
WeightHopper,DisplayName,Weight Hopper,PnPClassDisplayName
ChemicalTreatmentWater,BitwiseFlagValue,1,PnPClassFlagType
ChemicalTreatmentWater,DisplayName,Chemical Treatment Water,PnPClassDisplayName
WaterTreatmentTank,BitwiseFlagValue,1,PnPClassFlagType
WaterTreatmentTank,DisplayName,Water Treatment Tank,PnPClassDisplayName
WaterTreatmentTankOpen,BitwiseFlagValue,1,PnPClassFlagType
WaterTreatmentTankOpen,DisplayName,Water Treatment Tank Open,PnPClassDisplayName
WaterTreatmentTankOpenWithStirrer,BitwiseFlagValue,1,PnPClassFlagType
WaterTreatmentTankOpenWithStirrer,DisplayName,Water Treatment Tank Open With Stirrer,PnPClassDisplayName
WaterTreatmentTankOpenWithOverPressure,BitwiseFlagValue,1,PnPClassFlagType
WaterTreatmentTankOpenWithOverPressure,DisplayName,Water Treatment Tank Open With Over Pressure,PnPClassDisplayName
RapidCleaningTank,BitwiseFlagValue,1,PnPClassFlagType
RapidCleaningTank,DisplayName,Rapid Cleaning Tank,PnPClassDisplayName
MeteringDevice,BitwiseFlagValue,1,PnPClassFlagType
MeteringDevice,DisplayName,Metering Device,PnPClassDisplayName
VesselWithDishedEndsGeneral,BitwiseFlagValue,1,PnPClassFlagType
VesselWithDishedEndsGeneral,DisplayName,General Vessel With Dished Ends,PnPClassDisplayName
VesselWithTaperedEnds,BitwiseFlagValue,1,PnPClassFlagType
VesselWithTaperedEnds,DisplayName,Vessel With Tapered Ends,PnPClassDisplayName
VesselWithPipeCoils,BitwiseFlagValue,1,PnPClassFlagType
VesselWithPipeCoils,DisplayName,Vessel With Pipe Coils,PnPClassDisplayName
VesselWithTricklingDeaeration,BitwiseFlagValue,1,PnPClassFlagType
VesselWithTricklingDeaeration,DisplayName,Vessel With Trickling Deaeration,PnPClassDisplayName
VesselTricklingDeaerationandSteamAdmissionBottom,BitwiseFlagValue,1,PnPClassFlagType
VesselTricklingDeaerationandSteamAdmissionBottom,DisplayName,Vessel Trickling Deaerationand Steam Admission Bottom,PnPClassDisplayName
VesselWithSprayDeaeration,BitwiseFlagValue,1,PnPClassFlagType
VesselWithSprayDeaeration,DisplayName,Vessel With Spray Deaeration,PnPClassDisplayName
VesselWithSprayDeaerationAndSpraynozzles,BitwiseFlagValue,1,PnPClassFlagType
VesselWithSprayDeaerationAndSpraynozzles,DisplayName,Vessel With Spray Deaeration And Spraynozzles,PnPClassDisplayName
GravityAccumulator,BitwiseFlagValue,1,PnPClassFlagType
GravityAccumulator,DisplayName,Gravity Accumulator,PnPClassDisplayName
BarrelDrum,BitwiseFlagValue,0,PnPClassFlagType
BarrelDrum,DisplayName,Barrel Drum,PnPClassDisplayName
NuclearReactors,BitwiseFlagValue,1,PnPClassFlagType
NuclearReactors,DisplayName,Nuclear Reactors,PnPClassDisplayName
NuclearReactorGeneral,BitwiseFlagValue,1,PnPClassFlagType
NuclearReactorGeneral,DisplayName,General Nuclear Reactor,PnPClassDisplayName
RepOperatingAreas,BitwiseFlagValue,1,PnPClassFlagType
RepOperatingAreas,DisplayName,Rep Operating Areas,PnPClassDisplayName
PressurizedWaterReactor,BitwiseFlagValue,1,PnPClassFlagType
PressurizedWaterReactor,DisplayName,Pressurized Water Reactor,PnPClassDisplayName
BoilingWaterReactor,BitwiseFlagValue,1,PnPClassFlagType
BoilingWaterReactor,DisplayName,Boiling Water Reactor,PnPClassDisplayName
AdvancedGasCooledReactor,BitwiseFlagValue,1,PnPClassFlagType
AdvancedGasCooledReactor,DisplayName,Advanced Gas Cooled Reactor,PnPClassDisplayName
HighTemperatureReactor,BitwiseFlagValue,1,PnPClassFlagType
HighTemperatureReactor,DisplayName,High Temperature Reactor,PnPClassDisplayName
FastBreederReactor,BitwiseFlagValue,1,PnPClassFlagType
FastBreederReactor,DisplayName,Fast Breeder Reactor,PnPClassDisplayName
EnergySymbols,BitwiseFlagValue,1,PnPClassFlagType
