PnPID,ClassName,Description,Manufacturer,ModelNumber,Supplier,Comment,FlagValue,AcquisitionProperties,Status,ParamOnLine
9611,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
9617,Concentric Reducer,CONCENTRIC REDUCER,,,,,0,,New,
9619,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
9625,Electric Motor,ELECTRIC MOTOR,,,,,0,#Status,New,
9629,Centrifugal Pump,CENTRIFUGAL PUMP,,,,,0,#Status,New,
9633,FIELDDCS3,FIELDDCS3,,,,,0,#Status,New,
9635,FIELDCS2,FIELDCS2,,,,,0,#Status,New,
9644,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
9648,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
9652,Concentric Reducer,CONCENTRIC REDUCER,,,,,0,,New,
9658,Electric Motor,ELECTRIC MOTOR,,,,,0,#Status,New,
9661,FIELDDCS3,FIELDDCS3,,,,,0,#Status,New,
9663,Field DCS,FIELD DCS,,,,,0,#Status,New,
9665,Centrifugal Pump,CENTRIFUGAL PUMP,,,,,0,#Status,New,
9835,Vessel,VESSEL,,,,,0,#Status,New,
9871,Pressure Relief Valve,PRESSURE RELIEF VALVE,,,,,0,#Size2,New,
9874,Pressure Relief Valve,PRESSURE RELIEF VALVE,,,,,0,#Size2,New,
9934,Angle Valve,ANGLE VALVE,,,Staalname,,0,Size,New,
10107,Angle Valve,ANGLE VALVE,,,Staalname,,0,Size,New,
10112,Angle Valve,ANGLE VALVE,,,Staalname,,0,Size,,
10118,Angle Valve,ANGLE VALVE,,,Staalname,,0,Size,,
10135,General Heat Exchanger 1,GENERAL HEAT EXCHANGER 1,,,,,0,#Status,New,
10148,General Heat Exchanger 1,GENERAL HEAT EXCHANGER 1,,,,,0,#Status,New,
10155,General Heat Exchanger 1,GENERAL HEAT EXCHANGER 1,,,,,0,#Status,New,
10162,Electric Motor,ELECTRIC MOTOR,,,,,0,#Status,New,
10171,Vessel,VESSEL,,,,,0,#Status,New,
10175,FIELDCS2,FIELDCS2,,,,,0,#Status,New,
10178,FIELDDCS3,FIELDDCS3,,,,,0,#Status,New,
10181,FIELDCS2,FIELDCS2,,,,,0,#Status,New,
10186,Concentric Reducer,CONCENTRIC REDUCER,,,,,0,,New,
10191,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10193,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
10199,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
10229,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
