TableName,BaseTable,Abstract,PhysicalName,Revision,SyncTimestamp
OilCoolerWaterCooled,HeatExchangers,FALSE,OilCoolerWaterCooled,,
AirPreheaterHeatedByFlueGas,HeatExchangers,FALSE,AirPreheaterHeatedByFlueGas,,
WaterPreheaterHeatedByWasteGas,HeatExchangers,FALSE,WaterPreheaterHeatedByWasteGas,,
CondenserWithWaterReCooling,HeatExchangers,FALSE,CondenserWithWaterReCooling,,
TurbineCondenserWithSplitWaterCircuits,HeatExchangers,FALSE,TurbineCondenserWithSplitWaterCircuits,,
HeatExchangerOperatingByMixingOfTheMedia,HeatExchangers,FALSE,HeatExchangerOperatingByMixingOfTheMedia,,
SteamCoolerWithWaterInjection,HeatExchangers,FALSE,SteamCoolerWithWaterInjection,,
InjectionCondenser,HeatExchangers,FALSE,InjectionCondenser,,
MixingPreheaterDeaerator,HeatExchangers,FALSE,MixingPreheaterDeaerator,,
WetCoolingTowerNaturalDraught,HeatExchangers,FALSE,WetCoolingTowerNaturalDraught,,
WetCoolingTowerInducedDraughtFan,HeatExchangers,FALSE,WetCoolingTowerInducedDraughtFan,,
WetCoolingTowerForcedDraughtFan,HeatExchangers,FALSE,WetCoolingTowerForcedDraughtFan,,
DryCoolingTowerNaturalDraught,HeatExchangers,FALSE,DryCoolingTowerNaturalDraught,,
DryCoolingTowerInducedDraughtFan,HeatExchangers,FALSE,DryCoolingTowerInducedDraughtFan,,
DryCoolingTowerForcedDraughtFan,HeatExchangers,FALSE,DryCoolingTowerForcedDraughtFan,,
WetDryCoolingTowerNaturalDraught,HeatExchangers,FALSE,WetDryCoolingTowerNaturalDraught,,
MechanicalDrivers,Equipment,FALSE,MechanicalDrivers,,
CombustionEngineDrive,MechanicalDrivers,FALSE,CombustionEngineDrive,,
DieselEngine,MechanicalDrivers,FALSE,DieselEngine,,
ElectricMotor,MechanicalDrivers,FALSE,ElectricMotor,1.0,
Gear,MechanicalDrivers,FALSE,Gear,,
GeneralDrive,MechanicalDrivers,FALSE,GeneralDrive,,
Motor,MechanicalDrivers,FALSE,Motor,,
TurbineDriver,MechanicalDrivers,FALSE,TurbineDriver,,
CurrentGenerator,MechanicalDrivers,FALSE,CurrentGenerator,,
AlternatingCurrentGeneratorGeneral,MechanicalDrivers,FALSE,AlternatingCurrentGeneratorGeneral,,
DirectCurrentGeneratorGeneral,MechanicalDrivers,FALSE,DirectCurrentGeneratorGeneral,,
DrivenMechanicalMachine,MechanicalDrivers,FALSE,DrivenMechanicalMachine,,
SteamTurbine,MechanicalDrivers,FALSE,SteamTurbine,,
SteamTurbineWithExtractionNotControlled,MechanicalDrivers,FALSE,SteamTurbineWithExtractionNotControlled,,
SteamTurbineWithControlledExtraction,MechanicalDrivers,FALSE,SteamTurbineWithControlledExtraction,,
DoubleFlowSteamTurbineWithCentralAdmission,MechanicalDrivers,FALSE,DoubleFlowSteamTurbineWithCentralAdmission,,
DoubleFlowSteamTurbineWithAdmissionBothEnds,MechanicalDrivers,FALSE,DoubleFlowSteamTurbineWithAdmissionBothEnds,,
GasTurbine,MechanicalDrivers,FALSE,GasTurbine,,
HydraulicTurbine,MechanicalDrivers,FALSE,HydraulicTurbine,,
DrivingEngineWithReciprocatingPistons,MechanicalDrivers,FALSE,DrivingEngineWithReciprocatingPistons,,
ReciprocatingSteamEngine,MechanicalDrivers,FALSE,ReciprocatingSteamEngine,,
DrivingEngineWithRotaryPiston,MechanicalDrivers,FALSE,DrivingEngineWithRotaryPiston,,
AlternatingCurrentMotorGeneral,MechanicalDrivers,FALSE,AlternatingCurrentMotorGeneral,,
DirectCurrentMotorGeneral,MechanicalDrivers,FALSE,DirectCurrentMotorGeneral,,
MiscellaneousEquipment,Equipment,FALSE,MiscellaneousEquipment,,
BeltScale,MiscellaneousEquipment,FALSE,BeltScale,,
BoxTruck,MiscellaneousEquipment,FALSE,BoxTruck,,
BulkStorage,MiscellaneousEquipment,FALSE,BulkStorage,,
CarTank,MiscellaneousEquipment,FALSE,CarTank,,
ElectrolysisCellGeneral,MiscellaneousEquipment,FALSE,ElectrolysisCellGeneral,,
ExtruderShapingMachine,MiscellaneousEquipment,FALSE,ExtruderShapingMachine,,
FluidDistributionDevice,MiscellaneousEquipment,FALSE,FluidDistributionDevice,,
GeneralCoarseningShapingMachine,MiscellaneousEquipment,FALSE,GeneralCoarseningShapingMachine,,
GeneralHood,MiscellaneousEquipment,FALSE,GeneralHood,,
GeneralKneader,MiscellaneousEquipment,FALSE,GeneralKneader,,
GeneralScale,MiscellaneousEquipment,FALSE,GeneralScale,,
GeneralSolidsProportioner,MiscellaneousEquipment,FALSE,GeneralSolidsProportioner,,
IndustrialTruck,MiscellaneousEquipment,FALSE,IndustrialTruck,,
PackedTower,MiscellaneousEquipment,FALSE,PackedTower,,
PelletizingDiskShapingMachine,MiscellaneousEquipment,FALSE,PelletizingDiskShapingMachine,,
PistonPressShapingMachine,MiscellaneousEquipment,FALSE,PistonPressShapingMachine,,
RollerPressShapingMachine,MiscellaneousEquipment,FALSE,RollerPressShapingMachine,,
RollStand,MiscellaneousEquipment,FALSE,RollStand,,
RotaryTable,MiscellaneousEquipment,FALSE,RotaryTable,,
RotaryValveFeeder,MiscellaneousEquipment,FALSE,RotaryValveFeeder,,
ScrewTypeExtruderShapingMachine,MiscellaneousEquipment,FALSE,ScrewTypeExtruderShapingMachine,,
Ship,MiscellaneousEquipment,FALSE,Ship,,
Silo,MiscellaneousEquipment,FALSE,Silo,,
StackChimney,MiscellaneousEquipment,FALSE,StackChimney,,
WeighbridgeScale,MiscellaneousEquipment,FALSE,WeighbridgeScale,,
MixingEquipment,Equipment,FALSE,MixingEquipment,,
AnchorAgitator,MixingEquipment,FALSE,AnchorAgitator,,
BladeAgitator,MixingEquipment,FALSE,BladeAgitator,,
CrossBeamAgitator,MixingEquipment,FALSE,CrossBeamAgitator,,
DiskAgitator,MixingEquipment,FALSE,DiskAgitator,,
GatePaddleAgitator,MixingEquipment,FALSE,GatePaddleAgitator,,
GeneralAgitator,MixingEquipment,FALSE,GeneralAgitator,,
GeneralMixer,MixingEquipment,FALSE,GeneralMixer,,
HelicalAgitator,MixingEquipment,FALSE,HelicalAgitator,,
ImpellerAgitator,MixingEquipment,FALSE,ImpellerAgitator,,
MixerAgitator,MixingEquipment,FALSE,MixerAgitator,,
PaddleAgitator,MixingEquipment,FALSE,PaddleAgitator,,
PropellerAgitator,MixingEquipment,FALSE,PropellerAgitator,,
StaticMixer,MixingEquipment,FALSE,StaticMixer,,
TurbineAgitator,MixingEquipment,FALSE,TurbineAgitator,,
Pumps,Equipment,FALSE,Pumps,,
CentrifugalPump,Pumps,FALSE,CentrifugalPump,2.0,
