PnPID,Tag,LineNumber,Description,Service,NominalSize,NominalSpec,Comment,AcquisitionProperties,Status
5873,?,,PIPE LINE GROUP,,,,,,New
5874,?,,PIPE LINE GROUP,,,,,,New
5875,?,,PIPE LINE GROUP,,,,,,New
5876,?,,PIPE LINE GROUP,,,,,,New
5877,?,,PIPE LINE GROUP,,,,,,New
5878,?,,PIPE LINE GROUP,,,,,,New
5879,?,,PIPE LINE GROUP,,,,,,New
5880,?,,PIPE LINE GROUP,,,,,,New
5881,?,,PIPE LINE GROUP,,,,,,New
5882,?,,PIPE LINE GROUP,,,,,,New
5883,?,,PIPE LINE GROUP,,,,,,New
5884,?,,PIPE LINE GROUP,,,,,,New
5885,?,,PIPE LINE GROUP,,,,,,New
5886,?,,PIPE LINE GROUP,,,,,,New
5887,?,,PIPE LINE GROUP,,,,,,New
5888,?,,PIPE LINE GROUP,,,,,,New
5889,?,,PIPE LINE GROUP,,,,,,New
5890,?,,PIPE LINE GROUP,,,,,,New
5891,?,,PIPE LINE GROUP,,,,,,New
5892,?,,PIPE LINE GROUP,,,,,,New
5893,?,,PIPE LINE GROUP,,,,,,New
5894,?,,PIPE LINE GROUP,,,,,,New
5895,?,,PIPE LINE GROUP,,,,,,New
5896,?,,PIPE LINE GROUP,,,,,,New
5897,?,,PIPE LINE GROUP,,,,,,New
5898,?,,PIPE LINE GROUP,,,,,,New
5899,?,,PIPE LINE GROUP,,,,,,New
5901,?,,PIPE LINE GROUP,,,,,,New
5902,?,,PIPE LINE GROUP,,,,,,New
5903,?,,PIPE LINE GROUP,,,,,,New
5904,?,,PIPE LINE GROUP,,,,,,New
5905,?,,PIPE LINE GROUP,,,,,,New
5906,?,,PIPE LINE GROUP,,,,,,New
5907,?,,PIPE LINE GROUP,,,,,,New
5908,?,,PIPE LINE GROUP,,,,,,New
5909,?,,PIPE LINE GROUP,,,,,,New
5910,?,,PIPE LINE GROUP,,,,,,New
5911,?,,PIPE LINE GROUP,,,,,,New
5912,?,,PIPE LINE GROUP,,,,,,New
5913,?,,PIPE LINE GROUP,,,,,,New
5914,?,,PIPE LINE GROUP,,,,,,New
5915,?,,PIPE LINE GROUP,,,,,,New
5916,?,,PIPE LINE GROUP,,,,,,New
5917,?,,PIPE LINE GROUP,,,,,,New
5918,?,,PIPE LINE GROUP,,,,,,New
5932,?,,PIPE LINE GROUP,,,,,,New
6013,?,,PIPE LINE GROUP,,,,,,New
6368,?,,PIPE LINE GROUP,,,,,,New
6443,?,,PIPE LINE GROUP,,,,,,New
6640,?,,PIPE LINE GROUP,,,,,,New
6642,?,,PIPE LINE GROUP,,,,,,New
6648,?,,PIPE LINE GROUP,,,,,,New
6654,?,,PIPE LINE GROUP,,,,,,New
6662,?,,PIPE LINE GROUP,,,,,,New
6663,?,,PIPE LINE GROUP,,,,,,New
6670,?,,PIPE LINE GROUP,,,,,,New
6679,?,,PIPE LINE GROUP,,,,,,New
6681,?,,PIPE LINE GROUP,,,,,,New
6704,?,,PIPE LINE GROUP,,,,,,New
6707,?,,PIPE LINE GROUP,,,,,,New
6709,?,,PIPE LINE GROUP,,,,,,New
6710,?,,PIPE LINE GROUP,,,,,,New
6713,?,,PIPE LINE GROUP,,,,,,New
6726,?,,PIPE LINE GROUP,,,,,,New
6732,?,,PIPE LINE GROUP,,,,,,New
6738,?,,PIPE LINE GROUP,,,,,,New
6747,?,,PIPE LINE GROUP,,,,,,New
6748,?,,PIPE LINE GROUP,,,,,,New
6749,?,,PIPE LINE GROUP,,,,,,New
6756,?,,PIPE LINE GROUP,,,,,,New
6759,?,,PIPE LINE GROUP,,,,,,New
6762,?,,PIPE LINE GROUP,,,,,,New
6775,?,,PIPE LINE GROUP,,,,,,New
6787,?,,PIPE LINE GROUP,,,,,,New
6788,?,,PIPE LINE GROUP,,,,,,New
6789,?,,PIPE LINE GROUP,,,,,,New
6794,?,,PIPE LINE GROUP,,,,,,New
6807,?,,PIPE LINE GROUP,,,,,,New
6818,?,,PIPE LINE GROUP,,,,,,New
6825,?,,PIPE LINE GROUP,,,,,,New
6855,?,,PIPE LINE GROUP,,,,,,New
6871,?,,PIPE LINE GROUP,,,,,,New
