TableName,PropertyName,PropertyType,IsObjectId,IsCounter,IsSystem,IsUnique,CheckConstraint,DefaultValue,Length,IsExpression,Expression
OpenTopTank,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
Reactor,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
SemiTubeVessel,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
Sphere,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
SphericalVessel,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
Vessel,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
VesselWithPackedSection,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
VesselWithTrayedInternals,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
WeightHopper,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
ChemicalTreatmentWater,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
WaterTreatmentTank,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
WaterTreatmentTankOpen,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
WaterTreatmentTankOpenWithStirrer,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
WaterTreatmentTankOpenWithOverPressure,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
RapidCleaningTank,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
MeteringDevice,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
VesselWithDishedEndsGeneral,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
VesselWithTaperedEnds,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
VesselWithPipeCoils,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
VesselWithTricklingDeaeration,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
VesselTricklingDeaerationandSteamAdmissionBottom,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
VesselWithSprayDeaeration,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
VesselWithSprayDeaerationAndSpraynozzles,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
GravityAccumulator,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
BarrelDrum,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
NuclearReactors,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
NuclearReactorGeneral,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
RepOperatingAreas,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
PressurizedWaterReactor,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
BoilingWaterReactor,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
AdvancedGasCooledReactor,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
HighTemperatureReactor,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
FastBreederReactor,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
EnergySymbols,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
MechanicalEnergy,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
PneumaticEnergy,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
HeatEnergy,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
